date,E_Conductivity,TempInSitu,Serial,Sp_Conductance,AbsPressure_bar,Sp_Conductance_cal,SalinityInSitu_1pCal
2021-03-26T15:39:00Z,50810.1,24.63,CT_325,50403.59637293109,1,50718.76871408436,33.261269578395165
2021-03-26T15:39:10Z,50623.4,24.67,CT_325,50264.44584523574,1,50579.618186389016,33.158870935604526
2021-03-26T15:39:20Z,50402,24.66,CT_325,50033.15054624726,1,50348.322887400536,32.98877306378351
2021-03-26T15:39:30Z,50134.9,24.67,CT_325,49779.40964072562,1,50094.581981878895,32.80232446840199
2021-03-26T15:39:40Z,49952.1,24.65,CT_325,49575.18119471164,1,49890.35353586491,32.65237626326783
2021-03-26T15:39:50Z,49834.8,24.65,CT_325,49458.76629415411,1,49773.938635307386,32.56694972753465
2021-03-26T15:40:00Z,49682.9,24.67,CT_325,49330.61462652178,1,49645.786967675056,32.47295041852911
2021-03-26T15:40:10Z,49607.2,24.7,CT_325,49289.31075735732,1,49604.483098510595,32.44266289975978
2021-03-26T15:40:20Z,49555,24.72,CT_325,49259.999607197424,1,49575.1719483507,32.4211720941536
2021-03-26T15:40:30Z,49433.3,24.74,CT_325,49161.52717982594,1,49476.699520979215,32.348988530685276
2021-03-26T15:40:40Z,49416,24.76,CT_325,49166.82164571903,1,49481.9939868723,32.35286892348985
2021-03-26T15:40:50Z,49398.6,24.77,CT_325,49160.75665082979,1,49475.92899198306,32.34842380446034
2021-03-26T15:41:00Z,49358.3,24.79,CT_325,49143.12996478054,1,49458.302305933816,32.335505491907654
2021-03-26T15:41:10Z,49271.9,24.81,CT_325,49079.55066315824,1,49394.72300431151,32.28891581229042
2021-03-26T15:41:20Z,49202.9,24.83,CT_325,49033.23676266771,1,49348.40910382098,32.25498435137872
2021-03-26T15:41:30Z,49185.7,24.84,CT_325,49027.30206385252,1,49342.47440500579,32.25063674195123
2021-03-26T15:41:40Z,49139.9,24.87,CT_325,49015.24239067364,1,49330.41473182691,32.2418024078606
2021-03-26T15:41:50Z,49099.8,24.9,CT_325,49008.818767369274,1,49323.99110852255,32.23709692258353
2021-03-26T15:42:00Z,49122.7,24.92,CT_325,49054.075004117665,1,49369.24734527094,32.27025062614418
2021-03-26T15:42:10Z,49094.1,24.97,CT_325,49081.49696844792,1,49396.669309601195,32.29034187464665
2021-03-26T15:42:20Z,49111.3,25,CT_325,49132.30582559792,1,49447.47816675119,32.32757304699079
2021-03-26T15:42:30Z,49151.3,25.08,CT_325,49262.07643758847,1,49577.24877874174,32.42269474516184
2021-03-26T15:42:40Z,49174.3,25.16,CT_325,49374.98936400687,1,49690.16170516014,32.50549458852777
2021-03-26T15:42:50Z,49185.7,25.21,CT_325,49442.64537622903,1,49757.817717382306,32.55512273318552
2021-03-26T15:43:00Z,49122.7,25.24,CT_325,49413.01102583347,1,49728.18336698674,32.5333834289836
2021-03-26T15:43:10Z,49065.5,25.27,CT_325,49389.137689272306,1,49704.31003042558,32.515871938133266
2021-03-26T15:43:20Z,49128.4,25.35,CT_325,49542.38516412619,1,49857.55750527947,32.628306693362624
2021-03-26T15:43:30Z,49180,25.42,CT_325,49673.2472745603,1,49988.419615713574,32.72436493292879
2021-03-26T15:43:40Z,49134.2,25.48,CT_325,49694.531033866406,1,50009.70337501968,32.739992208941864
2021-03-26T15:43:50Z,49174.3,25.56,CT_325,49825.276423556694,1,50140.44876470997,32.83601524414547
2021-03-26T15:44:00Z,49168.5,25.61,CT_325,49875.79366291043,1,50190.9660040637,32.87312812268024
2021-03-26T15:44:10Z,49191.5,25.66,CT_325,49955.5703878476,1,50270.74272900087,32.93174989432952
2021-03-26T15:44:20Z,49174.3,25.7,CT_325,49983.262452325274,1,50298.43479347855,32.9521024351593
2021-03-26T15:44:30Z,49197.2,25.74,CT_325,50051.73571662348,1,50366.90805777675,33.0024358508191
2021-03-26T15:44:40Z,49225.9,25.77,CT_325,50114.8620899515,1,50430.034431104774,33.04884940290863
2021-03-26T15:44:50Z,49191.5,25.8,CT_325,50113.7541732602,1,50428.92651441347,33.04803472202361
2021-03-26T15:45:00Z,49174.3,25.83,CT_325,50130.142296763464,1,50445.31463791674,33.06008566672231
2021-03-26T15:45:10Z,49180,25.85,CT_325,50158.56785419935,1,50473.74019535262,33.08098990830946
2021-03-26T15:45:20Z,49225.9,25.89,CT_325,50250.66509089923,1,50565.8374320525,33.14873257101352
2021-03-26T15:45:30Z,49375.6,26.11,CT_325,50653.5917835833,1,50968.764124736575,33.44536048956202
2021-03-26T15:45:40Z,49375.6,26.12,CT_325,50664.972131918206,1,50980.14447307148,33.45374448716824
2021-03-26T15:45:50Z,49283.4,26.11,CT_325,50559.00536514087,1,50874.17770629414,33.37569058446387
2021-03-26T15:46:00Z,49381.3,26.13,CT_325,50682.20365764417,1,50997.37599879744,33.46643972060203
2021-03-26T15:46:10Z,49312.2,26.12,CT_325,50599.91653293483,1,50915.088874088106,33.40582190839594
2021-03-26T15:46:20Z,49271.9,26.11,CT_325,50547.207709912145,1,50862.38005106542,33.36700232755436
2021-03-26T15:46:30Z,49277.6,26.1,CT_325,50541.698496979414,1,50856.87083813269,33.36294524747898
2021-03-26T15:46:40Z,49231.6,26.09,CT_325,50483.17334598061,1,50798.345687133886,33.31985105888738
2021-03-26T15:46:50Z,49151.3,26.09,CT_325,50400.83194696693,1,50716.0042881202,33.25923480373497
2021-03-26T15:47:00Z,49168.5,26.09,CT_325,50418.4692080259,1,50733.64154917917,33.2722171629784
2021-03-26T15:47:10Z,49208.7,26.09,CT_325,50459.69117864047,1,50774.86351979374,33.30256272885568
2021-03-26T15:47:20Z,49174.3,26.1,CT_325,50435.74858353521,1,50750.920924688486,33.28493685604765
2021-03-26T15:47:30Z,49128.4,26.1,CT_325,50388.671129255556,1,50703.84347040883,33.2502839806366
2021-03-26T15:47:40Z,49157.1,26.1,CT_325,50418.10735883782,1,50733.27969999109,33.27195080666192
2021-03-26T15:47:50Z,49077,26.11,CT_325,50347.26310086192,1,50662.435442015194,33.219808912679795
2021-03-26T15:48:00Z,49122.7,26.1,CT_325,50382.82490944304,1,50697.997250596316,33.245981074537596
2021-03-26T15:48:10Z,49082.7,26.1,CT_325,50341.79880549562,1,50656.971146648895,33.215787679697826
2021-03-26T15:48:20Z,49071.2,26.1,CT_325,50330.00380061074,1,50645.176141764015,33.207107868407874
2021-03-26T15:48:30Z,49082.7,26.05,CT_325,50285.254821185394,1,50600.42716233867,33.17418080578826
2021-03-26T15:48:40Z,48928.8,26.01,CT_325,50082.50897185933,1,50397.6813130126,33.02506056859031
2021-03-26T15:48:50Z,48968.6,26.01,CT_325,50123.24742972218,1,50438.41977087545,33.0550154692919
2021-03-26T15:49:00Z,48860.6,26.01,CT_325,50012.7008606471,1,50327.87320180037,32.973740600932715
2021-03-26T15:49:10Z,48877.6,26.01,CT_325,50030.10170948299,1,50345.27405063626,32.986531811653926
2021-03-26T15:49:20Z,48894.7,26.01,CT_325,50047.60491625321,1,50362.77725740648,32.99939903964177
2021-03-26T15:49:30Z,48866.3,26.01,CT_325,50018.53526290384,1,50333.70760405711,32.978029333054
2021-03-26T15:49:40Z,48951.5,26.01,CT_325,50105.74422295196,1,50420.91656410523,33.0421448831508
2021-03-26T15:49:50Z,48877.6,26.01,CT_325,50030.10170948299,1,50345.27405063626,32.986531811653926
2021-03-26T15:50:00Z,48877.6,26.01,CT_325,50030.10170948299,1,50345.27405063626,32.986531811653926
2021-03-26T15:50:10Z,48826.6,26.01,CT_325,49977.899162975315,1,50293.07150412859,32.94816048377151
2021-03-26T15:50:20Z,48843.6,26.01,CT_325,49995.3000118112,1,50310.472352964476,32.9609501582969
2021-03-26T15:50:30Z,48843.6,26.01,CT_325,49995.3000118112,1,50310.472352964476,32.9609501582969
2021-03-26T15:50:40Z,48803.9,26,CT_325,49943.42638956345,1,50258.59873071672,32.92282516327738
2021-03-26T15:50:50Z,48809.6,26,CT_325,49949.25947934562,1,50264.431820498896,32.92711190551936
2021-03-26T15:51:00Z,48753,26,CT_325,49891.33792115767,1,50206.51026231094,32.88454913439284
2021-03-26T15:51:10Z,48809.6,26,CT_325,49949.25947934562,1,50264.431820498896,32.92711190551936
2021-03-26T15:51:20Z,48758.6,25.99,CT_325,49885.84258945483,1,50201.0149306081,32.8805114160441
2021-03-26T15:51:30Z,48719.1,25.99,CT_325,49845.42939501767,1,50160.601736170946,32.85082000328956
2021-03-26T15:51:40Z,48736,25.98,CT_325,49851.50022500599,1,50166.672566159265,32.855279953357055
2021-03-26T15:51:50Z,48713.4,25.98,CT_325,49828.382941989636,1,50143.55528314291,32.83829728494614
2021-03-26T15:52:00Z,48685.2,25.96,CT_325,49777.124127083334,1,50092.29646823661,32.800645817364526
2021-03-26T15:52:10Z,48713.4,25.96,CT_325,49805.95660390142,1,50121.12894505469,32.82182350188445
2021-03-26T15:52:20Z,48696.5,25.96,CT_325,49788.677566375685,1,50103.84990752896,32.809131657496266
2021-03-26T15:52:30Z,48640.1,25.95,CT_325,49719.81782090078,1,50034.990162054055,32.75856014162052
2021-03-26T15:52:40Z,48685.2,25.94,CT_325,49754.71478748141,1,50069.887128634684,32.78418743552204
